,,x1,x2,a,t,y,y_obs
train,90,0.2838460138025083,0.15410592199330292,0.0,1.0,0.0,0.0
train,91,0.22232725313705964,0.1795365322194044,0.0,1.0,0.0,0.0
train,92,0.2523019628457663,0.1792734567503662,0.0,1.0,0.0,0.0
train,93,0.07524077747870508,0.11258146391184566,0.0,0.0,0.0,0.0
train,94,-0.02371170252435245,0.37980332835298863,0.0,0.0,1.0,0.0
train,95,0.3923360412864833,0.061165513763988016,0.0,1.0,1.0,1.0
train,96,0.09867939057135805,-0.18892201685516502,0.0,1.0,0.0,0.0
train,97,0.2723155503682996,0.1377481637049031,0.0,1.0,1.0,1.0
train,98,-0.01353852694825447,0.3512825861222141,0.0,0.0,0.0,0.0
train,99,-0.004114271333261477,0.10788840201434247,0.0,0.0,0.0,0.0
train,100,0.2990369591591594,0.1798028411939514,0.0,1.0,0.0,0.0
train,101,0.27790888759894655,-0.0743517651768259,0.0,1.0,1.0,1.0
train,102,0.040928604521188225,0.06328651387442763,0.0,0.0,0.0,0.0
train,103,-0.010019822829343855,0.06783841540432092,0.0,0.0,0.0,0.0
train,104,0.02721514245945525,0.21695469325157016,0.0,0.0,0.0,0.0
train,105,-0.059868506125528326,-0.024250250349388547,0.0,0.0,0.0,0.0
train,106,0.3849539646531305,0.4255282152848355,0.0,0.0,1.0,0.0
train,107,0.08931666363055386,0.2193362328263114,0.0,0.0,0.0,0.0
train,108,-0.3800656712660366,0.1651539394179074,0.0,0.0,0.0,0.0
train,109,0.15416737378925366,0.2427089867116411,0.0,0.0,0.0,0.0
train,110,0.06071427839704718,0.11649820344981712,0.0,0.0,0.0,0.0
train,111,0.13409133612750052,0.09192005961916144,0.0,0.0,0.0,0.0
train,112,0.13039172216352723,-0.07084544649656294,0.0,1.0,0.0,0.0
train,113,0.36379631504507315,0.007203765512906246,0.0,1.0,1.0,1.0
train,114,0.17498243446769735,0.4606743212617835,0.0,0.0,0.0,0.0
train,115,0.17772648470102362,-0.062046012016951424,0.0,1.0,0.0,0.0
train,116,-0.23563789516401717,0.3477837882914415,0.0,0.0,0.0,0.0
train,117,0.17446409238517138,0.2285879236951307,0.0,0.0,0.0,0.0
train,118,0.19452229264798357,0.2287841921995018,0.0,0.0,0.0,0.0
train,119,0.2979871728255258,0.18923610790928228,0.0,0.0,0.0,0.0
train,120,0.09622872958548329,-0.053542217876405174,0.0,0.0,0.0,0.0
train,121,-0.07562372026666989,0.34015328577489656,0.0,0.0,1.0,0.0
train,122,0.11259289309005846,-0.13724567554239836,0.0,1.0,0.0,0.0
train,123,0.12141995949508186,0.18607711695866974,0.0,0.0,0.0,0.0
train,124,0.17072574080372893,0.386880036287088,0.0,0.0,0.0,0.0
train,125,0.43515493930255383,0.4333746224231198,0.0,0.0,1.0,0.0
train,126,0.16552361823684783,0.40944902424270996,0.0,0.0,0.0,0.0
train,127,-0.24304970748717458,0.4460866350632989,0.0,0.0,0.0,0.0
train,128,0.10971655997043198,0.10611343766136355,0.0,0.0,0.0,0.0
train,129,0.030258283681175807,0.11265995004464432,0.0,0.0,0.0,0.0
train,130,0.4216553019492654,0.09452980301134604,0.0,1.0,1.0,1.0
train,131,0.10666029234411861,0.06492171327422554,0.0,0.0,0.0,0.0
train,132,0.2562273789276766,0.25799560610197403,0.0,0.0,1.0,0.0
train,133,0.32996530555358106,-0.0664441865687142,0.0,1.0,0.0,0.0
train,134,0.07522728616663543,-0.026086372395838525,0.0,1.0,0.0,0.0
train,135,0.027271970885568264,0.30076744020226553,0.0,0.0,0.0,0.0
train,136,-0.06313198834486344,0.26612280266924676,0.0,0.0,0.0,0.0
train,137,0.10034871904136528,0.2343491705380516,0.0,0.0,0.0,0.0
train,138,0.23864134461276698,0.2958102024063137,0.0,0.0,0.0,0.0
train,139,0.4642778846870906,0.2715799629034063,0.0,1.0,1.0,1.0
train,140,0.13743537350286852,0.3692994937220857,0.0,0.0,0.0,0.0
train,141,0.11826062413317909,0.46410736189595103,0.0,0.0,0.0,0.0
train,142,0.26850097831539443,0.18999779618186682,0.0,0.0,1.0,0.0
train,143,0.5015428427982671,0.07393248290119965,0.0,1.0,1.0,1.0
train,144,0.10658131959098005,0.1842558389428907,0.0,0.0,0.0,0.0
train,145,0.21967585325999836,-0.07994523140292009,0.0,1.0,0.0,0.0
train,146,0.007928080877270455,0.18176176754434054,0.0,0.0,0.0,0.0
train,147,0.12040164652995866,0.16065701979467487,0.0,0.0,0.0,0.0
train,148,-0.1663157285470805,0.39682811759049386,0.0,0.0,1.0,0.0
train,149,0.3586848703937654,0.7069069197986595,0.0,0.0,1.0,0.0
train,150,-0.04281339390483016,0.3026870833580261,0.0,0.0,0.0,0.0
train,151,0.24639767840564558,0.429926054221078,0.0,0.0,1.0,0.0
train,152,0.09852540003061463,0.3822039343402277,0.0,0.0,1.0,0.0
train,153,0.2420862684911279,0.11445330744566276,0.0,1.0,1.0,1.0
train,154,0.051098706682624645,0.041218238021745665,0.0,0.0,0.0,0.0
train,155,0.17371154821806617,0.12384727166201648,0.0,0.0,0.0,0.0
train,156,0.06416287612860568,-0.04857384280634944,0.0,1.0,0.0,0.0
train,157,0.16519673705493484,0.059505981426278165,0.0,0.0,0.0,0.0
train,158,-0.038221950203059546,-0.12569755546494732,0.0,0.0,0.0,0.0
train,159,-0.06685229136838178,0.004949692265704297,0.0,0.0,0.0,0.0
train,160,0.2903580267691439,0.14286992641313037,0.0,0.0,0.0,0.0
train,161,0.08928862922528245,0.08340011887422358,0.0,0.0,0.0,0.0
train,162,-0.17807770091653014,0.10319542736652092,0.0,0.0,0.0,0.0
train,163,0.08989793564200078,0.1259059549043582,0.0,0.0,0.0,0.0
train,164,0.2438029448833901,0.06032965551674549,0.0,1.0,0.0,0.0
train,165,0.16599086697448273,-0.2544948968652475,0.0,1.0,0.0,0.0
train,166,0.13747388515220602,0.06222765679752655,0.0,1.0,0.0,0.0
train,167,0.16430687375640293,0.28168548857363485,0.0,0.0,0.0,0.0
train,168,0.4365236363174136,0.2163442088522015,0.0,1.0,1.0,1.0
train,169,0.16899123937474905,0.21162066889234601,0.0,0.0,0.0,0.0
train,170,0.29502126373770055,0.43653810472534865,0.0,0.0,0.0,0.0
train,171,0.07800673560951073,-0.052206376226908796,0.0,0.0,0.0,0.0
train,172,0.05699542649853939,0.1785000210249277,0.0,0.0,0.0,0.0
train,173,0.2704050560453469,0.10419247770933965,0.0,0.0,0.0,0.0
train,174,0.2032352011154445,0.1731038306557207,0.0,0.0,0.0,0.0
train,175,-0.04340510977391851,0.2776621003090659,0.0,0.0,0.0,0.0
train,176,0.33195589098308576,0.10945242041449925,0.0,1.0,1.0,1.0
train,177,0.03257846353352534,0.3207036553269226,0.0,0.0,0.0,0.0
train,178,0.2804392820291367,0.10666691086835123,0.0,1.0,0.0,0.0
train,179,0.039506653419044996,0.28591330151898386,0.0,0.0,0.0,0.0
train,180,0.18705449782614328,0.0472576946935294,0.0,1.0,1.0,1.0
train,181,0.2107082195499202,0.23543894876553778,0.0,0.0,0.0,0.0
train,182,-0.05596021041844376,0.4301985311145465,0.0,0.0,0.0,0.0
train,183,-0.12377436842992956,0.07911814812497163,0.0,0.0,0.0,0.0
train,184,0.15390007931228555,0.07940110621326903,0.0,0.0,0.0,0.0
train,185,-0.1498982017831138,0.2676241738203049,0.0,0.0,0.0,0.0
train,186,-0.06426991454902534,0.2648320776621219,0.0,0.0,0.0,0.0
train,187,0.3774218592500105,0.1222114266271852,0.0,1.0,1.0,1.0
train,188,0.2878896466661967,0.012908206894237412,0.0,1.0,1.0,1.0
train,189,0.09953512841294171,-0.013550686337054446,0.0,1.0,0.0,0.0
train,190,0.29333890259017525,0.09087503335250846,0.0,1.0,0.0,0.0
train,191,0.30569513150209526,0.4230437490889367,0.0,0.0,0.0,0.0
train,192,-0.08999720454439963,0.03747635231475345,0.0,0.0,0.0,0.0
train,193,0.31867367627253307,0.28871319926313777,0.0,0.0,0.0,0.0
train,194,0.06282892322582613,0.3607969372910417,0.0,0.0,0.0,0.0
train,195,0.1282124030346038,0.2846146817461682,0.0,0.0,0.0,0.0
train,196,0.08046547566652659,-0.14757898067027247,0.0,1.0,0.0,0.0
train,197,-0.03443757068586345,0.06530938445625302,0.0,0.0,0.0,0.0
train,198,-0.04767300938570462,0.2650623364657162,0.0,0.0,0.0,0.0
train,199,0.24857888069796102,0.38503184023188,0.0,0.0,0.0,0.0
train,200,0.18317658450552363,0.047764389462489926,0.0,1.0,0.0,0.0
train,201,0.08329981117268823,0.29771081196773386,0.0,0.0,0.0,0.0
train,202,-0.12586560479169628,0.16375889515195274,0.0,0.0,0.0,0.0
train,203,0.2524040023892332,0.20524453628469838,0.0,0.0,0.0,0.0
train,204,0.09670743865790735,0.2031056720501046,0.0,0.0,0.0,0.0
train,205,0.1161917266124017,0.2155296417521856,0.0,0.0,0.0,0.0
train,206,0.2404399999889486,0.08394817104772967,0.0,0.0,1.0,0.0
train,207,0.12515220478850783,0.12122728101610658,0.0,0.0,0.0,0.0
train,208,0.06280779606179912,-0.004056131920795514,0.0,0.0,0.0,0.0
train,209,-0.3637745627958536,0.163746493393186,0.0,0.0,0.0,0.0
train,210,0.19397660052914,0.11922534577588374,0.0,0.0,0.0,0.0
train,211,0.015207215359691051,0.45966750819918645,0.0,0.0,0.0,0.0
train,212,0.1151263009077357,0.29567868378192586,0.0,0.0,0.0,0.0
train,213,0.14760223879209486,0.3162586310073283,0.0,0.0,0.0,0.0
train,214,0.4346067300355671,0.35577847210736413,0.0,1.0,0.0,0.0
train,215,0.30562618176138034,0.3518487655965249,0.0,0.0,0.0,0.0
train,216,0.07999428102322206,0.2020342826310436,0.0,0.0,0.0,0.0
train,217,0.10423861282610279,-0.16589052724490466,0.0,1.0,0.0,0.0
train,218,0.1739836020976641,0.15429989025025911,0.0,0.0,0.0,0.0
train,219,0.18090016848272716,-0.03923517840558058,0.0,1.0,1.0,1.0
train,220,0.3361013710853902,-0.1404662519645986,0.0,1.0,0.0,0.0
train,221,0.12581981853034405,0.4990103637419939,0.0,0.0,1.0,0.0
train,222,0.06554102375643386,-0.26810750274800405,0.0,1.0,0.0,0.0
train,223,0.5193580446367267,-0.2829566483891825,0.0,1.0,0.0,0.0
train,224,0.21289412959393422,0.16215681075696153,0.0,0.0,0.0,0.0
train,225,0.29899263193471226,0.11759544277847805,0.0,1.0,0.0,0.0
train,226,0.2892544415021095,0.30954272176328157,0.0,0.0,0.0,0.0
train,227,-0.043091604692460206,0.25425759139277915,0.0,0.0,0.0,0.0
train,228,0.1378578455288083,0.6153603015175793,0.0,0.0,0.0,0.0
train,229,0.23630884410567576,0.2498313489893486,0.0,0.0,0.0,0.0
train,230,0.706709477290987,-0.0009373489984618177,0.0,1.0,1.0,1.0
train,231,0.12757224968990347,0.12028600181863539,0.0,0.0,0.0,0.0
train,232,0.15897190564021985,0.3019058336046415,0.0,0.0,0.0,0.0
train,233,0.2798396529026237,-0.0076515622143634165,0.0,1.0,0.0,0.0
train,234,0.10838760579679024,0.3186175386723693,0.0,0.0,0.0,0.0
train,235,0.2316676358942147,0.22815987239368068,0.0,0.0,0.0,0.0
train,236,-0.1087460760302365,0.34215518760457775,0.0,0.0,0.0,0.0
train,237,0.18146439304247636,0.38579291860071585,0.0,0.0,0.0,0.0
train,238,0.1449772527817873,0.24490064703447068,0.0,0.0,0.0,0.0
train,239,0.1868591191258479,0.35879924802946433,0.0,0.0,0.0,0.0
train,240,0.5264509310811545,0.3011664491002893,0.0,1.0,1.0,1.0
train,241,0.22309919886563223,0.6135846931984501,0.0,0.0,1.0,0.0
train,242,0.010784334179604976,0.03746985618488893,0.0,0.0,0.0,0.0
train,243,-0.0593844785382478,-0.035098648864414134,0.0,0.0,0.0,0.0
train,244,0.021732653024280207,0.26945832244858103,0.0,0.0,0.0,0.0
train,245,0.06241590328147707,-0.04214384963140688,0.0,1.0,0.0,0.0
train,246,0.48984390572146935,0.2342293556177361,0.0,1.0,1.0,1.0
train,247,-0.03825675924440303,0.25195013845301534,0.0,0.0,0.0,0.0
train,248,0.05384956484958302,0.01627710600304874,0.0,0.0,0.0,0.0
train,249,0.12353039284158879,-0.08918624955971993,0.0,1.0,1.0,1.0
train,250,0.040477499112162516,0.280929551099676,0.0,0.0,0.0,0.0
train,251,0.28412311028506715,0.13309156267627123,0.0,1.0,1.0,1.0
train,252,0.0437271570772757,0.3258787425505427,0.0,0.0,0.0,0.0
train,253,-0.08059658959037203,0.36405754950273705,0.0,0.0,0.0,0.0
train,254,-0.034203424416924644,-0.2890047323874859,0.0,1.0,0.0,0.0
train,255,0.1228632825448045,0.13091905635001533,0.0,0.0,0.0,0.0
train,256,0.399107239885496,0.07835902873845424,0.0,1.0,1.0,1.0
train,257,0.2068162891112118,0.002547540788310848,0.0,1.0,1.0,1.0
train,258,-0.09732711937071592,0.02346678879651884,0.0,0.0,0.0,0.0
train,259,0.2505034995416522,-0.05287113606272645,0.0,1.0,1.0,1.0
train,260,-0.15037234363746532,0.25839645185377164,0.0,0.0,0.0,0.0
train,261,-0.02319048516278993,0.19332760344696392,0.0,0.0,0.0,0.0
train,262,0.38174528124488183,-0.13589413770983066,0.0,1.0,0.0,0.0
train,263,0.1716025939372809,-0.09064306963514626,0.0,1.0,1.0,1.0
train,264,-0.10234197512640458,0.02925117136736044,0.0,0.0,0.0,0.0
train,265,0.11583199719341583,0.2590597767310592,0.0,0.0,0.0,0.0
train,266,0.09051958900343006,-0.008960273706804106,0.0,1.0,0.0,0.0
train,267,-0.05582260008797185,0.16060438810648198,0.0,0.0,0.0,0.0
train,268,-0.20469926890123363,0.32222182148741074,0.0,0.0,0.0,0.0
train,269,0.1844369645833012,0.21995692805700984,0.0,0.0,0.0,0.0
train,270,0.26202652227713874,0.0014013835413743125,0.0,1.0,0.0,0.0
train,271,0.022851217780700234,0.037299260428986444,0.0,0.0,0.0,0.0
train,272,0.16089930002046676,0.21633752914077758,0.0,0.0,0.0,0.0
train,273,0.486864473066322,-0.05492636001369644,0.0,1.0,0.0,0.0
train,274,0.15136867660178546,-0.015762769762629303,0.0,1.0,0.0,0.0
train,275,0.24146921290943923,-0.20037704122920985,0.0,1.0,0.0,0.0
train,276,0.33567593303980076,0.2629496654472272,0.0,1.0,0.0,0.0
train,277,0.11797665681556507,0.248837404620307,0.0,0.0,0.0,0.0
train,278,-0.0772933628570128,0.524917116064858,0.0,0.0,0.0,0.0
train,279,0.04118776687319442,-0.07370842116846779,0.0,1.0,0.0,0.0
train,280,0.12704022489898795,0.4853361334507927,0.0,0.0,0.0,0.0
train,281,0.20586798316443378,0.36408896501600607,0.0,0.0,0.0,0.0
train,282,-0.009795989482122763,0.36249927753442523,0.0,0.0,0.0,0.0
train,283,0.08687535760762104,-0.09451142291083209,0.0,1.0,1.0,1.0
train,284,-0.14675937750616896,-0.05596682634510142,0.0,0.0,0.0,0.0
train,285,-0.24664800813504822,0.2199986937665085,0.0,0.0,0.0,0.0
train,286,0.3719544083108905,0.0599629520932588,0.0,1.0,0.0,0.0
train,287,-0.19280158115749924,0.02759948840878884,0.0,0.0,0.0,0.0
train,288,0.23127651690454987,0.03178076252488905,0.0,1.0,0.0,0.0
train,289,-0.12224723519929637,-0.060526418779763475,0.0,0.0,0.0,0.0
train,290,0.3128746962924277,-0.19439427013525656,0.0,1.0,0.0,0.0
train,291,0.42956288001262316,0.21245466637985747,0.0,1.0,0.0,0.0
train,292,0.21721316080005504,-0.011742878296361087,0.0,1.0,1.0,1.0
train,293,0.18230170589701328,0.14315595977339532,0.0,0.0,0.0,0.0
train,294,0.14415926386501232,0.3177569120146695,0.0,0.0,0.0,0.0
train,295,-0.1646012480967134,0.060494274117802685,0.0,0.0,0.0,0.0
train,296,-0.07369839070628312,0.23876671728167675,0.0,0.0,1.0,0.0
train,297,0.49623150853590176,0.13124566106875274,0.0,1.0,1.0,1.0
train,298,0.03748929678536893,0.04120204043704179,0.0,0.0,0.0,0.0
train,299,-0.2110992612732538,0.3613356753673962,0.0,0.0,0.0,0.0
train,300,-0.08117564898103771,0.09381096159974439,0.0,0.0,0.0,0.0
train,301,0.1476100114762623,0.21917544481348838,0.0,0.0,0.0,0.0
train,302,0.07116083340488873,0.3924763768281161,0.0,0.0,0.0,0.0
train,303,0.37750804691427187,-0.03147180885324824,0.0,1.0,1.0,1.0
train,304,0.08255890227860037,-0.10372632044741159,0.0,1.0,0.0,0.0
train,305,0.37669584228566805,0.25386481592597987,0.0,0.0,0.0,0.0
train,306,-0.030473764756896726,-0.0007891469297354459,0.0,0.0,0.0,0.0
train,307,0.08359914763054992,0.24437159611243625,0.0,0.0,0.0,0.0
train,308,0.26982748279541013,-0.011441539188846439,0.0,1.0,0.0,0.0
train,309,0.3314808061672582,0.31579146660351454,0.0,0.0,0.0,0.0
train,310,0.26410857141316585,0.12878033725277516,0.0,1.0,0.0,0.0
train,311,0.05647284681257547,-0.08930650068601917,0.0,1.0,0.0,0.0
train,312,0.23024897114614934,0.004405030179906039,0.0,1.0,0.0,0.0
train,313,0.3928926596520853,0.014477845445441423,0.0,1.0,0.0,0.0
train,314,0.09038003712835617,0.3798324179598983,0.0,0.0,0.0,0.0
train,315,0.03270635559830298,0.1647173449344963,0.0,0.0,0.0,0.0
train,316,0.2480543486506097,0.13094858046780794,0.0,0.0,0.0,0.0
train,317,0.33462963144017577,0.2083889089897511,0.0,0.0,0.0,0.0
train,318,0.35331393087722773,0.08529610554170765,0.0,1.0,0.0,0.0
train,319,0.16280515282211125,0.015233731873900536,0.0,1.0,1.0,1.0
train,320,0.29052105562966213,0.1814251198741706,0.0,0.0,0.0,0.0
train,321,0.22055376109204794,0.23990640165615873,0.0,0.0,0.0,0.0
train,322,0.13540323168620624,0.06553839739316264,0.0,0.0,0.0,0.0
train,323,-0.009801605056141333,-0.031012402823635987,0.0,0.0,0.0,0.0
train,324,0.023246486161250718,0.4307584938184193,0.0,0.0,0.0,0.0
train,325,0.12987921285044418,0.3874045550517284,0.0,0.0,0.0,0.0
train,326,-0.12387873016209427,0.13535487119157183,0.0,0.0,0.0,0.0
train,327,0.18666258733598776,0.20863646594759683,0.0,0.0,0.0,0.0
train,328,0.3484870934357962,0.1919548163315658,0.0,0.0,0.0,0.0
train,329,0.15330516002670513,-0.04499322397645955,0.0,1.0,0.0,0.0
train,330,0.022432433961788872,0.3740753101678507,0.0,0.0,0.0,0.0
train,331,0.3209673320364008,0.22383624779327863,0.0,0.0,0.0,0.0
train,332,0.33773138514942624,0.30737117909999356,0.0,0.0,0.0,0.0
train,333,0.05934424694089738,0.25699005936889696,0.0,0.0,0.0,0.0
train,334,-0.0010686063163454773,0.34865608027321293,0.0,0.0,0.0,0.0
train,335,0.17121645542725528,0.14530370504273837,0.0,0.0,0.0,0.0
train,336,0.1646704028634197,-0.0449075430322434,0.0,1.0,0.0,0.0
train,337,0.14152339329602823,0.2635158944102167,0.0,0.0,0.0,0.0
train,338,0.07858642860169995,0.1339759490725877,0.0,0.0,0.0,0.0
train,339,0.1595157540682665,0.4198212084248717,0.0,0.0,0.0,0.0
train,340,0.25134098195442073,0.1362258587962826,0.0,0.0,0.0,0.0
train,341,0.15874245485223729,-0.004519246535687693,0.0,0.0,0.0,0.0
train,342,-0.0014916516114301392,-0.007220138628316414,0.0,0.0,0.0,0.0
train,343,0.11838192331997024,0.013773460932497789,0.0,0.0,0.0,0.0
train,344,0.12820554365294945,0.38470475987653535,0.0,0.0,1.0,0.0
train,345,0.14194404568080587,0.04783668327936359,0.0,0.0,0.0,0.0
train,346,0.1201909427999267,-0.004691697282834445,0.0,1.0,0.0,0.0
train,347,0.1956804870280857,0.26867308260971073,0.0,0.0,0.0,0.0
train,348,0.15654198435850894,0.01218722620245885,0.0,0.0,0.0,0.0
train,349,0.12656909741658381,0.45123170641458743,0.0,0.0,1.0,0.0
train,350,-0.03232553963818574,-0.18306013461284992,0.0,1.0,0.0,0.0
train,351,0.005925157792138758,0.0902579437519052,0.0,0.0,0.0,0.0
train,352,0.2282390488100469,0.10793860942354243,0.0,1.0,1.0,1.0
train,353,0.0802356910527941,0.2130199032145297,0.0,0.0,0.0,0.0
train,354,0.09152579898830275,0.030302487959804614,0.0,0.0,0.0,0.0
train,355,0.17078502830827558,0.30638422326925685,0.0,0.0,0.0,0.0
train,356,0.17074490576486392,-0.09767339060960223,0.0,1.0,0.0,0.0
train,357,0.21020399929358435,0.24880418570635865,0.0,0.0,0.0,0.0
train,358,-0.13325203958636328,0.14058851502295283,0.0,0.0,0.0,0.0
train,359,-0.029750958769032887,0.229489635885645,0.0,0.0,0.0,0.0
train,360,0.1174259716029715,-0.13168916781408951,0.0,1.0,0.0,0.0
train,361,0.19712837435895708,0.3809082395552024,0.0,0.0,0.0,0.0
train,362,-0.07954478214816835,0.1845103012437913,0.0,0.0,0.0,0.0
train,363,0.036821436472841945,0.31408827031405506,0.0,0.0,0.0,0.0
